"X","Y","Z","facies","density","porosity","permeability","Vp","Vs","Ip","Is"
103,45,100,"0",2.327369,0.0982,115.308149,2.932734,1.356017,6.825554196846,3.155951929273
103,45,101,"0",2.321141,0.1024,32.902584,2.903226,1.330581,6.738796900866,3.088466112921
103,45,102,"0",2.296078,0.1193,73.960528,2.786693,1.230129,6.398464490054,2.824472134062
103,45,103,"0",2.319509,0.1035,60.691797,2.895534,1.323951,6.716217172806,3.070916260059
103,45,104,"0",2.341161,0.0889,77.708764,2.998857,1.413015,7.020807052977,3.308095610415
103,45,105,"0",2.28021,0.13,75.643219,2.714712,1.168082,6.19011344952,2.66347225722
103,45,106,"0",2.315654,0.1061,50.258555,2.877413,1.30833,6.663092923102,3.02963959782
103,45,107,"0",2.318026,0.1045,50.464968,2.888554,1.317934,6.695743274404,3.055005278284
103,45,108,"0",2.302307,0.1151,133.232446,2.815327,1.254812,6.481747059389,2.888962451284
103,45,109,"0",2.302455,0.115,43.102256,2.816011,1.255401,6.483738607005,2.890504309455
103,45,110,"0",2.353915,0.0803,18.541719,3.060972,1.466558,7.20526790538,3.45215287457
103,45,111,"0",2.354953,0.0796,58.923699,3.06607,1.470952,7.22045074471,3.464022825256
103,45,112,"0",2.377643,0.0643,26.026754,3.179045,1.568337,7.558634090935,3.728945489691
103,45,113,"0",2.361627,0.0751,33.648832,3.098986,1.499326,7.318649010222,3.540848763402
103,45,114,"0",2.354953,0.0796,60.806499,3.06607,1.470952,7.22045074471,3.464022825256
103,45,115,"0",2.392473,0.0543,18.546843,3.254519,1.633396,7.786348835487,3.907855828308
103,45,116,"0",2.375715,0.0656,35.05016,3.169329,1.559961,7.529422445235,3.706022747115
103,45,117,"0",2.342644,0.0879,38.483982,3.006032,1.4192,7.042062828608,3.3246803648
103,45,118,"0",2.341458,0.0887,24.060797,3.000291,1.414251,7.025055364278,3.311409317958
103,45,119,"0",2.364296,0.0733,13.184996,3.112225,1.510738,7.3582211186,3.571831810448
103,45,120,"0",2.375715,0.0656,18.503761,3.169329,1.559961,7.529422445235,3.706022747115
103,45,121,"0",2.371118,0.0687,27.790733,3.146247,1.540065,7.460122894146,3.65167584267
