X,Y,Z,facies,density,porosity,permeability
73,5,199,0,2.391583,0.0549,6.805875
73,5,198,0,2.395439,0.0523,4.38009
73,5,197,0,2.395587,0.0522,5.784889
73,5,196,0,2.417536,0.0374,3.505904
73,5,195,0,2.419464,0.0361,2.540247
73,5,194,0,2.415163,0.039,2.083747
73,5,193,0,2.426434,0.0314,2.059017
73,5,192,0,2.404189,0.0464,2.039797
73,5,191,0,2.39188,0.0547,5.084696
73,5,190,0,2.393363,0.0537,2.212142
73,5,189,0,2.399147,0.0498,7.598205
73,5,188,0,2.379126,0.0633,5.830288
73,5,187,0,2.379423,0.0631,3.82357
73,5,186,0,2.361627,0.0751,5.9249
73,5,185,0,2.367855,0.0709,6.359339
73,5,184,0,2.380016,0.0627,3.147944
73,5,183,0,2.395884,0.052,4.334211
73,5,182,0,2.393511,0.0536,4.100049
73,5,181,0,2.402409,0.0476,4.930285
73,5,180,0,2.393808,0.0534,2.631528
73,5,179,0,2.410714,0.042,4.337965
73,5,178,0,2.406117,0.0451,2.77922
73,5,177,0,2.39188,0.0547,2.495336
73,5,176,0,2.396774,0.0514,5.492423
73,5,175,0,2.405227,0.0457,2.929551
73,5,174,0,2.40582,0.0453,3.541881
73,5,173,0,2.385355,0.0591,4.817769
73,5,172,0,2.39099,0.0553,5.819906
73,5,171,0,2.392918,0.054,14.786657
73,5,170,0,2.395736,0.0521,9.216287
73,5,169,0,2.395736,0.0521,10.392978
73,5,168,0,2.391138,0.0552,10.256047
73,5,167,0,2.396329,0.0517,8.354241
73,5,166,0,2.372898,0.0675,13.183782
73,5,165,0,2.361627,0.0751,14.79449
73,5,164,0,2.377495,0.0644,17.989538
73,5,163,0,2.382537,0.061,12.236578
73,5,162,0,2.389062,0.0566,8.712544
73,5,161,0,2.38313,0.0606,16.96563
73,5,160,0,2.388914,0.0567,19.706977
73,5,159,0,2.405375,0.0456,8.633959
73,5,158,0,2.36222,0.0747,18.866442
73,5,157,0,2.386838,0.0581,24.036432
73,5,156,0,2.391732,0.0548,4.38241
73,5,155,2,2.234042,0.2538,1220.36572
73,5,154,2,2.30433,0.217,2320.545028
73,5,153,2,2.238626,0.2514,1745.540782
73,5,152,2,2.156687,0.2943,2326.215794
73,5,151,2,2.211313,0.2657,2767.069071
73,5,150,2,2.179607,0.2823,3168.983661
73,5,149,2,2.174068,0.2852,2868.996378
73,5,148,2,2.296881,0.2209,3048.105538
73,5,147,2,2.227357,0.2573,2361.348026
73,5,146,2,2.202909,0.2701,2981.329655
73,5,145,2,2.250468,0.2452,3190.950006
73,5,144,2,2.21074,0.266,2855.880296
73,5,143,2,2.271478,0.2342,2476.281425
73,5,142,2,2.21456,0.264,2460.027715
73,5,141,2,2.228121,0.2569,4078.401708
73,5,140,2,2.120015,0.3135,4104.686566
73,5,139,2,2.254479,0.2431,3661.592417
73,5,138,2,2.199662,0.2718,2422.200001
73,5,137,2,2.183809,0.2801,2375.472461
73,5,136,3,2.350226,0.0677,9.698912
73,5,135,3,2.354603,0.0647,10.715933
73,5,134,2,2.173877,0.2853,2818.123361
73,5,133,2,2.196797,0.2733,2036.666875
73,5,132,2,2.212459,0.2651,2692.154624
73,5,131,2,2.227548,0.2572,2452.392617
73,5,130,2,2.278736,0.2304,1795.643013
73,5,129,2,2.279691,0.2299,3196.170951
73,5,128,2,2.28332,0.228,2386.876782
73,5,127,2,2.268422,0.2358,1753.234467
73,5,126,2,2.230795,0.2555,2398.611989
73,5,125,2,2.205392,0.2688,2684.849832
73,5,124,2,2.160889,0.2921,3238.172647
73,5,123,2,2.246457,0.2473,2479.761997
73,5,122,3,2.35825,0.0622,10.705822
73,5,121,3,2.352268,0.0663,10.382693
73,5,120,3,2.358834,0.0618,9.961047
73,5,119,0,2.39188,0.0547,5.438148
73,5,118,0,2.37527,0.0659,2.519759
73,5,117,0,2.361478,0.0752,2.576119
73,5,116,0,2.36133,0.0753,3.177767
73,5,115,0,2.394698,0.0528,1.952149
73,5,114,0,2.397219,0.0511,1.908996
73,5,113,1,2.189398,0.2762,4387.124912
73,5,112,1,2.190924,0.2754,3473.121688
73,5,111,3,2.365545,0.0572,4.570714
73,5,110,0,2.40493,0.0459,1.213979
73,5,109,0,2.395884,0.052,1.960645
73,5,108,0,2.39707,0.0512,1.884374
73,5,107,0,2.425841,0.0318,1.112874
73,5,106,0,2.410714,0.042,1.06584
73,5,105,0,2.414422,0.0395,1.085858
73,5,104,0,2.403151,0.0471,1.178032
73,5,103,0,2.420798,0.0352,1.774737
73,5,102,0,2.419167,0.0363,1.441571
73,5,101,0,2.416794,0.0379,1.086428
73,5,100,0,2.432218,0.0275,1.110258
