X	Y	Z	Vp	Vs
133	125	81	3.263664	1.641278
63	45	89	2.186478	1.335241
127	85	129	3.002443	1.416106
127	85	129	3.002443	1.416106
113	5	94	3.222661	1.605934
43	85	170	3.122551	1.519639
127	165	112	3.28201	1.657092
73	5	100	3.463284	1.813351
57	25	179	3.096784	1.497427
33	45	154	2.162777	1.322126
63	45	94	3.252997	1.632083
63	45	177	2.932029	1.355409
107	131	195	2.878108	1.308929
67	71	145	2.122975	1.252636
107	111	81	3.258327	1.636678
33	45	135	2.183921	1.357233
7	75	16	3.155167	1.547754
93	105	103	2.175337	1.316916
37	165	22	3.093849	1.494898
97	25	191	2.136136	1.276199
103	65	195	2.67693	1.135514
77	25	116	3.271299	1.64786
27	5	131	3.087253	1.489212
73	5	83	3.344487	1.710948
123	45	112	2.976696	1.393912
107	131	116	2.864916	1.297557
27	5	161	2.129516	1.264421
127	85	89	3.295819	1.668996
83	65	119	2.184489	1.358255
83	65	116	2.154253	1.281497
93	125	96	2.183921	1.357233
107	131	163	2.141638	1.286074
83	65	159	3.094582	1.49553
83	65	129	3.123289	1.520275
113	5	95	3.269007	1.645884
127	85	151	3.094582	1.49553
53	125	112	2.712048	1.165785
107	85	160	3.166343	1.557388
127	165	132	3.242356	1.622911
83	65	115	2.171279	1.310426
83	45	114	3.071173	1.475351
123	45	194	2.875327	1.306532
37	165	4	2.204206	1.39054
133	125	104	3.164106	1.555459
93	105	128	2.700083	1.155472
103	45	193	3.218884	1.602678
93	105	174	3.022582	1.433465
67	71	168	2.154617	1.2821
33	45	128	2.144617	1.264868
133	125	191	2.851077	1.285628
67	71	107	2.159332	1.31605
83	165	161	2.181453	1.352926
97	25	154	3.162939	1.554454
127	85	194	2.718045	1.170955
93	105	82	3.234013	1.615719
53	125	128	2.137652	1.278796
83	165	83	3.145374	1.539312
133	125	7	2.851077	1.285628
93	125	87	2.221657	1.419222
33	45	24	3.260614	1.638649
33	45	96	3.16514	1.556351
87	85	139	3.113699	1.512008
77	111	168	2.198213	1.381012
53	5	159	3.040646	1.449037
83	65	114	2.160495	1.292448
127	165	125	2.885069	1.31493
107	85	143	2.230031	1.433818
73	91	107	2.165949	1.327133
93	5	108	3.212847	1.597474
63	45	102	3.383487	1.744565
43	85	180	2.122345	1.251459
7	31	13	2.182644	1.35498
87	85	117	2.856607	1.290395
53	125	148	2.198694	1.381894
33	45	189	3.070444	1.474722
67	71	163	2.154979	1.282703
107	171	145	3.142536	1.536866
93	5	137	3.262138	1.639963
33	45	87	3.280478	1.655772
27	5	4	2.193234	1.372367
27	5	192	3.256042	1.634708
97	25	181	2.174788	1.342161
83	65	95	3.133704	1.529252
93	5	179	2.214588	1.408171
123	45	12	3.284308	1.659074
133	125	158	3.062428	1.467813
103	65	156	3.022582	1.433465
107	85	175	3.258327	1.636678
83	45	83	3.213601	1.598124
83	65	146	3.235529	1.617026
53	5	196	2.192151	1.370583
83	65	123	3.084325	1.486688
107	111	105	2.151239	1.276555
103	45	133	2.866302	1.298752
107	85	171	3.275886	1.651814
53	125	151	2.192014	1.37036
53	125	80	3.162615	1.554174
83	65	148	3.185784	1.574146
107	111	156	2.980976	1.397601
27	151	6	2.234892	1.441265
107	131	118	2.842108	1.277897
43	85	93	3.200799	1.587088
33	45	171	3.09605	1.496795
83	45	137	3.126984	1.52346
73	91	124	2.751539	1.199826
53	125	89	3.122551	1.519639
83	165	185	2.783977	1.227788
83	45	177	2.144204	1.29031
77	25	189	2.157681	1.287355
83	45	181	2.151234	1.302604
73	5	149	2.13774	1.278949
143	65	11	2.187166	1.362733
103	65	125	3.018978	1.430359
113	5	178	3.156656	1.549037
107	171	143	3.144762	1.538785
127	85	4	2.158833	1.315169
127	85	6	2.212588	1.404729
127	85	107	3.211339	1.596175
27	5	94	3.253758	1.632739
83	65	104	3.10928	1.508199
107	85	96	2.18863	1.364983
103	45	92	2.168853	1.306386
67	71	144	2.164871	1.325403
33	45	80	3.189533	1.577378
73	5	176	3.276651	1.652473
27	5	5	2.160796	1.318688
107	131	140	3.003161	1.416724
53	125	6	2.227411	1.42911
143	51	1	3.043544	1.451535
83	45	87	3.04137	1.449661
67	71	105	2.136045	1.276046
67	71	197	2.82149	1.260125
107	111	155	2.892043	1.320941
7	191	25	2.864223	1.29696
77	111	190	2.806441	1.247152
87	85	138	3.026188	1.436574
123	45	25	3.051523	1.458413
53	125	120	3.04362	1.451601
93	125	125	2.77178	1.217274
27	95	18	3.17381	1.563825
63	45	87	2.174913	1.316217
93	125	160	3.005299	1.418568
103	65	141	2.186363	1.335053
143	71	6	3.249194	1.628805
73	5	117	3.098252	1.498693
43	85	115	3.017538	1.429117
127	165	108	3.152935	1.54583
53	125	101	3.014658	1.426635
43	85	89	2.161854	1.294574
63	45	126	2.970284	1.388385
107	171	117	3.132902	1.528561
27	5	136	3.031965	1.441554
133	125	164	3.294282	1.667671
83	45	111	2.161021	1.293266
127	85	80	3.347595	1.713626
107	131	137	2.961752	1.38103
63	45	160	2.137564	1.278644
93	105	114	2.95182	1.372469
83	45	144	3.03775	1.446541
67	71	119	3.079422	1.482462
133	125	163	3.205313	1.59098
107	85	133	2.858682	1.292184
107	191	12	2.131216	1.267524
43	85	92	3.30197	1.674298
43	85	161	2.164373	1.298643
77	25	110	3.312754	1.683594
127	165	117	2.159249	1.290189
127	85	130	2.909531	1.336016
133	125	107	3.152192	1.545189
103	65	182	3.087985	1.489843
133	125	135	2.978835	1.395756
127	165	143	3.110016	1.508834
93	5	172	3.067215	1.471939
33	45	1	3.060972	1.466558
127	165	193	2.797576	1.23951
107	131	170	2.185272	1.359684
133	125	102	3.219639	1.603329
87	85	193	2.869771	1.301742
83	45	178	2.152381	1.304508
73	91	172	2.841419	1.277303
53	125	121	3.098161	1.498615
127	165	165	2.174054	1.314818
93	105	100	2.168319	1.305423
27	95	17	2.132472	1.26991
73	91	99	2.17573	1.343618
133	125	93	3.316612	1.68692
7	31	19	2.162021	1.320966
53	125	85	3.135123	1.530476
127	85	84	3.348372	1.714296
127	85	154	3.095316	1.496162
63	45	161	2.157505	1.312873
63	45	152	3.069367	1.473794
53	125	189	2.132035	1.269069
93	105	139	2.186123	1.361154
27	5	13	2.196359	1.377698
7	75	14	2.97527	1.392683
73	5	118	3.16709	1.558031
93	5	195	3.243874	1.62422
53	125	194	2.967438	1.385932
103	65	111	2.885069	1.31493
127	85	162	2.16348	1.297181
77	25	89	2.185081	1.332978
103	45	176	2.879499	1.310128
107	171	157	3.243874	1.62422
143	15	7	2.209337	1.398985
103	65	98	3.067527	1.472208
107	131	82	3.445786	1.798268
53	125	126	2.165353	1.326173
93	125	174	2.953946	1.374301
67	71	85	2.166391	1.302042
27	5	182	3.001726	1.415488
27	151	19	2.191046	1.368795
33	45	107	2.171845	1.311307
107	111	148	2.636926	1.10103
67	71	102	2.169505	1.33306
133	125	92	3.272063	1.648518
143	71	2	3.147733	1.541345
77	111	126	3.052185	1.458983
127	165	174	2.147443	1.295747
53	125	185	3.098161	1.498615
83	65	151	2.956783	1.376747
143	65	13	3.16709	1.558031
143	71	21	2.188919	1.365433
107	171	139	3.171569	1.561892
77	25	171	2.190627	1.368124
113	5	151	3.085179	1.487424
53	5	93	3.370189	1.733103
37	165	21	3.182039	1.570918
73	91	139	2.190627	1.368124
77	25	166	2.164569	1.298967
107	111	181	2.899029	1.326963
83	45	105	2.167412	1.303815
123	45	148	3.06607	1.470952
143	15	18	3.097518	1.49806
97	25	108	3.188783	1.576731
7	31	4	3.115173	1.513279
73	91	114	3.177549	1.567047
33	45	23	3.040646	1.449037
53	125	177	2.157172	1.286457
107	111	121	3.070444	1.474722
33	45	192	3.155911	1.548396
83	45	180	2.156774	1.311633
97	25	122	3.010343	1.422916
63	45	171	2.149295	1.299021
43	85	110	3.219639	1.603329
57	25	105	3.286608	1.661056
107	111	100	2.165537	1.300587
37	165	20	3.101925	1.501859
123	45	124	2.961042	1.380418
83	65	127	3.248433	1.62815
107	85	116	3.098986	1.499326
77	25	132	2.158597	1.288997
93	125	107	2.139866	1.282749
73	5	119	3.251475	1.630772
107	85	135	3.03294	1.442394
43	85	191	2.137564	1.278644
133	125	90	3.28201	1.657092
93	125	88	2.180846	1.351897
83	45	166	2.15785	1.287654
127	165	130	3.138828	1.53367
27	151	23	2.245317	1.459084
107	131	196	3.094582	1.49553
73	5	123	2.177052	1.345696
113	5	106	3.164852	1.556102
127	165	161	2.161647	1.294247
83	45	125	3.161124	1.552889
93	5	126	3.291211	1.665024
87	85	140	3.051523	1.458413
97	25	97	3.271299	1.64786
67	71	176	2.144617	1.264868
103	45	189	3.193285	1.580612
53	125	176	2.157597	1.287205
73	5	101	3.381137	1.74254
57	25	87	3.354595	1.719661
97	25	193	2.11939	1.246194
37	191	19	3.044993	1.452784
63	45	133	2.146775	1.294597
53	5	91	3.37097	1.733777
93	105	188	2.798257	1.240097
123	45	141	3.234013	1.615719
107	131	157	3.027632	1.437818
127	165	101	3.159634	1.551605
57	25	130	2.721381	1.17383
83	45	124	3.259089	1.637335
37	191	21	3.164852	1.556102
73	5	92	3.389757	1.749971
107	171	136	3.050797	1.457787
107	171	128	3.186534	1.574792
93	125	109	2.122132	1.251066
133	125	4	2.80849	1.248918
43	85	87	2.15933	1.290338
77	25	152	2.205718	1.392961
77	111	157	2.150976	1.302116
53	5	117	3.413349	1.770307
7	31	3	3.165597	1.556745
97	25	81	3.158145	1.550321
63	45	167	2.140358	1.283657
87	85	106	2.157597	1.287205
87	85	155	2.162368	1.29539
63	45	151	3.07511	1.478744
127	85	166	2.161231	1.293594
77	111	177	3.022582	1.433465
77	111	116	2.146711	1.26837
83	45	142	3.11886	1.516458
73	91	88	2.198933	1.382334
83	165	112	2.184263	1.357846
77	25	113	3.117709	1.515465
83	45	149	3.248433	1.62815
73	91	127	3.003181	1.416742
83	65	141	3.112225	1.510738
93	5	171	2.154527	1.28195
133	125	154	2.905327	1.332392
133	125	123	2.888554	1.317934
107	85	99	2.182052	1.353954
93	105	98	2.166297	1.30188
57	25	97	3.277416	1.653133
83	65	142	3.262901	1.640621
123	45	153	3.063156	1.468441
33	45	169	3.259089	1.637335
107	131	87	3.374096	1.736471
107	131	149	3.149962	1.543267
53	5	197	2.188195	1.364309
143	71	3	3.120336	1.51773
103	45	131	3.076283	1.479756
87	85	150	2.751539	1.199826
107	131	90	3.332852	1.700918
97	25	100	3.356152	1.721003
83	65	81	3.325111	1.694246
93	5	112	3.207572	1.592927
43	85	166	3.187283	1.575438
37	165	17	3.131422	1.527285
93	105	83	3.260614	1.638649
107	171	134	2.914442	1.340249
73	91	175	2.621308	1.087568
93	105	91	3.187283	1.575438
33	45	111	2.149316	1.272962
83	65	125	3.164106	1.555459
107	171	103	2.13774	1.278949
107	111	122	2.914442	1.340249
77	111	98	2.173181	1.313415
53	5	113	2.179854	1.32473
107	171	132	2.85799	1.291588
107	171	106	2.130837	1.26682
53	125	1	2.199052	1.382554
77	111	123	2.637578	1.101593
83	65	169	2.869771	1.301742
7	165	18	2.978835	1.395756
7	75	11	2.955364	1.375524
93	5	90	3.050756	1.457752
133	125	17	2.149476	1.299347
143	51	19	2.162777	1.322126
127	85	157	3.118122	1.515822
93	5	148	2.156656	1.285558
127	85	122	2.970996	1.388999
107	111	101	2.171732	1.311131
107	171	93	3.11591	1.513914
53	5	133	2.150715	1.301629
83	165	114	3.119598	1.517094
143	71	14	2.159629	1.316579
53	5	176	3.240079	1.620948
83	165	137	2.731406	1.182472
77	25	117	3.071903	1.47598
93	125	151	2.851077	1.285628
77	25	87	2.17274	1.312713
53	125	145	3.059335	1.465147
93	5	103	3.264427	1.641936
37	165	23	2.841419	1.277303
53	5	130	2.171732	1.311131
83	45	151	3.220395	1.60398
77	111	163	2.149295	1.299021
127	85	135	3.155911	1.548396
77	111	151	3.144644	1.538683
77	25	151	2.158732	1.314993
97	25	135	2.142658	1.287824
103	45	142	2.167044	1.303171
107	111	177	2.17986	1.350248
77	25	182	2.177301	1.320226
127	85	92	3.315069	1.685589
83	65	165	2.995991	1.410544
53	125	156	3.10119	1.501226
83	45	102	2.151814	1.277561
93	125	119	2.811223	1.251274
83	165	177	2.913038	1.339039
107	85	193	2.842797	1.278491
107	171	115	3.324338	1.693579
107	131	88	3.393681	1.753353
